X,Y,objectid,featuretype,description,class,name,operationalstatus,owner,generationtype,primaryfueltype,primarysubfueltype,generationmw,generatornumber,locality,state,spatialconfidence,revised,comment_,ga_guid,x_coordinate,y_coordinate
146.646965044,-42.507681986,1,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Repulse,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,28,1,Ouse,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{A95BE626-26DE-43E9-8719-C55E6D822054},146.64696504,-42.50768199
145.982837311,-42.740505076,2,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Gordon,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,432,3,Southwest,Tasmania,5,2016/11/24 00:00:00+00,Hydro-Underground,{CD129ED3-F475-46FC-9C67-3BDF02FF989A},145.98283731,-42.74050508
145.5344821,-42.1548214869999,3,Power Station,A facility used for the generation of electrical power for distribution,Renewable,John Butters,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,144,1,Queenstown,Tasmania,4,2016/11/24 00:00:00+00,Hydro,{28A85D71-A920-4628-AE5D-9E3BDB69C275},145.5344821,-42.15482149
145.653825267,-41.812857201,4,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tribute,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,82.8,1,West Coast,Tasmania,2,2016/11/24 00:00:00+00,Hydro-Underground,{7811E45F-464B-4A12-9E90-6427B852A0E7},145.65382527,-41.8128572
145.532117371,-41.7359698999999,5,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bastyan,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,79.9,1,Tullah,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{27E32D3C-B05B-4FC1-8EF0-00ED97763A09},145.53211737,-41.7359699
145.135953802,-41.723756452,6,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Reece,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,238,2,West Coast,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{8FAC0BB0-29CC-43E7-B505-C18B03B38124},145.1359538,-41.72375645
145.646123928,-41.699736646,7,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mackintosh,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,79.9,1,Tullah,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{D3B7B796-00E1-40B6-A9C3-AA1C83F1AE87},145.64612393,-41.69973665
146.134914284,-41.478724942,8,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cethana,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,85,1,Cethana,Tasmania,4,2016/11/24 00:00:00+00,Hydro-Underground / point snapped to the Substation label which was revised in 2017(spatial confidence corrected to 4),{441EC0D4-B2A6-4D94-82B7-D738183BDC86},146.13491428,-41.47872494
146.125078286,-41.4832989409999,9,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wilmot,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,81.6,1,Cethana,Tasmania,5,2016/11/24 00:00:00+00,,{D595B5FD-F903-41EA-8C6B-287B33C8A475},146.12507829,-41.48329894
146.263172276,-41.350453951,10,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Devils Gate,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,60,1,Barrington,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{13EA78B2-8835-4533-BE42-FFD1C45C88BA},146.26317228,-41.35045395
146.248969366,-41.282602996,11,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Paloona,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,28,1,Paloona,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{9F6F0B82-90BE-42E4-9699-93FF253B5D1D},146.24896937,-41.282603
146.903002711,-41.1428833539999,12,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bell Bay (Bell Bay Three),Operational,Aurora Energy Tamar Valley Pty Ltd,Open Cycle Gas Turbine,Natural Gas,,115,3,Bell Bay,Tasmania,5,2016/11/24 00:00:00+00,Gas,{E19DD3E9-DDD5-4130-80CD-33A66E873A44},146.90300271,-41.14288335
147.1118772,-41.4226199829999,13,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Trevallyn,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,80,4,Trevallyn,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{7BC5F3CB-7303-41AC-B40F-5116707FE149},147.1118772,-41.42261998
146.919172886,-41.811471389,14,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Poatina,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,100,6,Poatina,Tasmania,4,2020/02/26 00:00:00+00,Hydro-Underground,{68F4FEEE-6CED-44B2-9D7E-3B3961EB17E8},146.91917289,-41.81147139
146.620704412,-42.25368922,15,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Echo,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric - Gravity,Water,,32.4,1,Dee,Tasmania,5,2016/11/24 00:00:00+00,Hydro,{9EAE6DD3-6E63-4065-BE76-A0BD08C0FA08},146.62070441,-42.25368922
141.954735093,-38.28350288,16,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Codrington Wind Farm,Operational,Energy Pacific (Victoria) Pty Ltd,Wind Turbine,Wind,,18.2,14,Codrington,Victoria,3,2016/11/24 00:00:00+00,Wind,{B52E3B57-C716-40A8-AEAC-5813D1B967AD},141.95473509,-38.28350288
142.01513735,-38.307925138,17,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Yambuk Wind Farm,Operational,Energy Pacific (Victoria) Pty Ltd,Wind Turbine,Wind,,30,20,Yambuk,Victoria,3,2016/11/24 00:00:00+00,Wind,{EB939671-295D-4295-9965-A1A70DACB955},142.01513735,-38.30792514
142.186484578,-38.0064337169999,18,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Macarthur Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,420,140,Gerrigerrup,Victoria,5,2020/03/02 00:00:00+00,Wind/ snapped the point to Substation already existing in this place,{ED34D19A-BC04-4FCE-BC16-FE1D28ADB348},142.18648458,-38.00643372
142.667485225,-38.0631560149999,19,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mortlake,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,566,2,Mortlake,Victoria,5,2016/11/24 00:00:00+00,Gas,{0BD8D6A2-E636-460D-BC9C-27EF2680A2DD},142.66748523,-38.06315601
143.889199877,-37.831686578,20,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mt Mercer Wind Farm,Operational,,Wind Turbine,Wind,,131,,Mount Mercer,Victoria,3,2020/02/25 00:00:00+00,Wind / snapped to the point for substation,{17A37546-87AF-4074-9E0D-5B9FBB31B6CE},143.88919988,-37.83168658
143.603736449,-37.3574489219999,21,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waubra Wind Farm,Operational,Acciona Energy Australia,Wind Turbine,Wind,,192,128,Waubra,Victoria,2,2016/11/24 00:00:00+00,,{7B32B30B-958A-4A3B-9C4A-69C7720D8B8A},143.60373645,-37.35744892
143.113977402,-37.389775739,22,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Challicum Hills Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,52.5,35,Ballyrogan,Victoria,5,2020/02/27 00:00:00+00,Substation already exists in this location . Snapped the power station point to it,{11DB390A-E966-4C60-A1BE-7C6A24CEB042},143.1139774,-37.38977574
145.378989371,-36.3217620199999,23,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Shepparton Biogas Generation Plant,Operational,Diamond Energy Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,Shepparton North,Victoria,4,2016/11/24 00:00:00+00,Biomass,{E51DE1F7-8C9A-4E7A-9BFE-D5EAD285854E},145.37898937,-36.32176202
147.520585579,-36.5564163779999,24,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Dartmouth (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,150,1,Dartmouth,Victoria,4,2016/11/24 00:00:00+00,Hydro,{3098BE82-A5EB-4B0F-8172-7AD8EA6C4459},147.52058558,-36.55641638
147.459383776,-36.534383834,25,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Banimboola,Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,12.85,2,Mitta Mitta,Victoria,2,2016/11/24 00:00:00+00,Hydro,{ADD37D77-1818-44A3-A9FE-F738F22C5893},147.45938378,-36.53438383
146.392111793,-36.9129237879999,26,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake William Hovell,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric - Gravity,Water,,2,1,Cheshunt South,Victoria,4,2016/11/24 00:00:00+00,Hydro,{F060C77E-9893-418D-93DF-68516A4AD1B7},146.39211179,-36.91292379
145.921458196,-37.2219922359999,27,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eildon,Operational,AGL Energy Pty Ltd,Hydroelectric - Gravity,Water,,120,4,Eildon,Victoria,5,2016/11/24 00:00:00+00,Hydro,{933C30C7-10D5-4897-A33A-5DE5BFACB1C0},145.9214582,-37.22199224
144.788716964,-37.841566826,28,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Laverton North,Operational,Snowy Hydro Ltd,Open Cycle Gas Turbine,Natural Gas,,312,2,Laverton North,Victoria,5,2016/11/24 00:00:00+00,Gas,{5B439B11-93AE-4405-AAF4-7BBC0F27E39E},144.78871696,-37.84156683
144.894202946,-37.841448833,29,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Newport,Operational,Industry Funds Management,Steam Subcritical,Natural Gas,,500,1,Newport,Victoria,5,2016/11/24 00:00:00+00,Gas,{F1C02044-FED6-45F2-B4BB-7B173AD3756D},144.89420295,-37.84144883
