"1 Cooya Pooya","504019","WA - Department of Water and Environmental Regulation","-21.03781821","117.117456694"
"10 Mile Brook Dam Water Level Daily Value, South W","PI_357693.1","WA - Water Corporation","-33.963617","115.1248985"
"10A","GW040994","NSW - Water NSW","-34.48385589","150.56671531"
"11A","GW040997","NSW - Water NSW","-34.52663006","150.56462155"
"12/04","70811674","WA - Department of Water and Environmental Regulation","-21.57744929","117.073423064"
"13A","505032","WA - Department of Water and Environmental Regulation","-21.69950157","117.180786738"
"15 MILE @ GRETA STH","403213","VIC - Department of Energy, Environment and Climate Action","-36.61945775","146.2440721"
"15 MILE @ WANGARATTA","403239","VIC - Department of Energy, Environment and Climate Action","-36.36666667","146.2833333"
"15 MILE CK GLENROWAN","403251","VIC - Department of Energy, Environment and Climate Action","-36.47080718","146.246199"
"15LAG01D","80100009","WA - Department of Water and Environmental Regulation","-18.048133196","122.551435465"
"15LAG01S","80100010","WA - Department of Water and Environmental Regulation","-18.048157509","122.551435214"
"15LAG02S","80100012","WA - Department of Water and Environmental Regulation","-18.058133767","122.683447115"
"15LAG03D","80100013","WA - Department of Water and Environmental Regulation","-18.065293033","122.838340539"
"15LAG04D","80100015","WA - Department of Water and Environmental Regulation","-18.275784396","122.756789656"
"15LAG06S","120500079","WA - Department of Water and Environmental Regulation","-18.489615619","121.99099927"
"15LAG09S","120500085","WA - Department of Water and Environmental Regulation","-18.63370955","121.87157607"
"15LAG11I","120500088","WA - Department of Water and Environmental Regulation","-18.598293399","121.891233"
"15LAG11S","120500089","WA - Department of Water and Environmental Regulation","-18.598269261","121.891216071"
"15LAG13S","120500091","WA - Department of Water and Environmental Regulation","-18.652179089","122.157419438"
"15LAG14D","120500092","WA - Department of Water and Environmental Regulation","-18.658357051","122.285387585"
"15LAG15AS","120500094","WA - Department of Water and Environmental Regulation","-18.969242421","121.651622108"
"15LAG15BD","120500095","WA - Department of Water and Environmental Regulation","-18.985931488","121.689194787"
"15LAG15BS","120500096","WA - Department of Water and Environmental Regulation","-18.985908127","121.689187846"
"15LAG16I","120500097","WA - Department of Water and Environmental Regulation","-18.994595135","121.778780617"
"15LAG16S","120500098","WA - Department of Water and Environmental Regulation","-18.994565659","121.778791433"
"15LAG17I","120500099","WA - Department of Water and Environmental Regulation","-19.049386143","121.882166389"
"15LAG19I","120500101","WA - Department of Water and Environmental Regulation","-19.078914284","121.653445878"
"15LAG19S","120500102","WA - Department of Water and Environmental Regulation","-19.078901073","121.653451963"
"15LAG20I","120500103","WA - Department of Water and Environmental Regulation","-19.138832443","121.750482648"
"15LAG20S","120500104","WA - Department of Water and Environmental Regulation","-19.138805372","121.750488081"
"15LAG21D","120500105","WA - Department of Water and Environmental Regulation","-19.265124445","121.596462596"
"15LAG21S","120500106","WA - Department of Water and Environmental Regulation","-19.265135494","121.596501319"
"15LAG23AI","120500107","WA - Department of Water and Environmental Regulation","-19.337136944","122.047619983"
"15LAG23AS","120500108","WA - Department of Water and Environmental Regulation","-19.337164965","122.047586978"
"15LAG24D","120500111","WA - Department of Water and Environmental Regulation","-19.700977562","121.297746164"
"15LAG24S","120500112","WA - Department of Water and Environmental Regulation","-19.700982059","121.297715411"
"16 Mile Waterhole","913010A","QLD - Department of Regional Development, Manufacturing and Water","-18.876921","139.360487"
"163 Clifton Rd","6131318","WA - Department of Water and Environmental Regulation","-32.978066533","115.901121032"
