Address,Zone,Area,01/07/23,01/07/24,% change,type
"Botany Rd, Alexandria",E2,3275.7 m²,"$70,500,000.00","$77,500,000.00",9.90%,commercial
"Bowden St, Alexandria",E3,1080 m²,"$5,400,000.00","$5,750,000.00",6.50%,commercial
"Huntley St, Alexandria",E3,4040.5 m²,"$14,500,000.00","$18,200,000.00",25.50%,commercial
"Missenden Rd, Camperdown",E1,1002 m²,"$9,800,000.00","$9,800,000.00",0.00%,commercial
"Kensington St, Chippendale",C,705.5 m²,"$3,450,000.00","$3,580,000.00",3.80%,commercial
"Oxford St, Darlinghurst",E1,183.3 m²,"$1,700,000.00","$1,530,000.00",-10.00%,commercial
"Abercrombie St, Darlington",E1,238.1 m²,"$2,850,000.00","$3,000,000.00",5.30%,commercial
"Ashmore St, Erskineville",E1,5235.7 m²,"$45,000,000.00","$46,000,000.00",2.20%,commercial
"Erskineville Rd, Erskineville",E1,183.3 m²,"$1,100,000.00","$1,240,000.00",12.70%,commercial
"Central Ave, Eveleigh",B7,2727 m²,"$25,500,000.00","$30,000,000.00",17.70%,commercial
"Parramatta Rd, Forest Lodge",E3,885.2 m²,"$5,700,000.00","$5,500,000.00",-3.50%,commercial
"Bay St, Glebe",E1,1.12 ha,"$42,500,000.00","$45,000,000.00",5.90%,commercial
"Franklyn St, Glebe",E1,313 m²,"$2,750,000.00","$3,500,000.00",27.30%,commercial
"Glebe Point Rd, Glebe",E1,179.7 m²,"$1,450,000.00","$1,500,000.00",3.50%,commercial
"St Johns Rd, Glebe",E1,171.91 m²,"$1,100,000.00","$1,300,000.00",18.20%,commercial
"Eddy Ave, Haymarket",SP5,10.1 m²,"$283,000.00","$283,000.00",0.00%,commercial
"Hay St, Haymarket",SP5,331 m²,"$6,200,000.00","$6,200,000.00",0.00%,commercial
"Kent St, Millers Point",E1,202.7 m²,"$5,360,000.00","$5,000,000.00",-6.70%,commercial
"South Dowling St, Moore Park",E3,2.86 ha,"$50,000,000.00","$52,500,000.00",5.00%,commercial
"King St, Newtown",E1,145.4 m²,"$1,040,000.00","$1,000,000.00",-3.90%,commercial
"King St, Newtown",E1,177 m²,"$1,650,000.00","$1,560,000.00",-5.50%,commercial
"Darlinghurst Rd, Potts Point",E1,335 m²,"$5,200,000.00","$5,000,000.00",-3.90%,commercial
"Harris St, Pyrmont",E1,151.8 m²,"$1,600,000.00","$1,450,000.00",-9.40%,commercial
"Jones Bay Rd, Pyrmont",E2,866.4 m²,"$6,800,000.00","$7,500,000.00",10.30%,commercial
"Redfern St, Redfern",E1,132.8 m²,"$1,200,000.00","$1,300,000.00",8.30%,commercial
"Redfern St, Redfern",B2,1639.8 m²,"$3,920,000.00","$4,270,000.00",8.90%,commercial
"Regent St, Redfern",B3,784.9 m²,"$35,400,000.00","$35,700,000.00",0.90%,commercial
"Dalmeny Ave, Rosebery",E1,316.2 m²,"$950,000.00","$1,100,000.00",15.80%,commercial
"Harcourt Pde, Rosebery",E3,1657 m²,"$8,000,000.00","$8,400,000.00",5.00%,commercial
"Crown St, Surry Hills",E1,120 m²,"$1,250,000.00","$1,250,000.00",0.00%,commercial
"Bathurst St, Sydney",SP5,373.1 m²,"$6,800,000.00","$6,800,000.00",0.00%,commercial
"Castlereagh St, Sydney",SP5,603.8 m²,"$9,500,000.00","$10,000,000.00",5.30%,commercial
"Castlereagh St, Sydney",SP5,518 m²,"$16,500,000.00","$16,500,000.00",0.00%,commercial
"Elizabeth St, Sydney",SP5,96.4 m²,"$146,000.00","$146,000.00",0.00%,commercial
"George St, Sydney",SP5,483.4 m²,"$18,800,000.00","$19,500,000.00",3.70%,commercial
"George St, Sydney",SP5,809 m²,"$25,800,000.00","$26,800,000.00",3.90%,commercial
"Macquarie St, Sydney",SP5,604 m²,"$16,900,000.00","$17,500,000.00",3.60%,commercial
"Phillip St, Sydney",SP5,546 m²,"$16,300,000.00","$16,700,000.00",2.50%,commercial
"Pitt St, Sydney",SP5,603 m²,"$11,200,000.00","$11,700,000.00",4.50%,commercial
"Harris St, Ultimo",E1,178.1 m²,"$2,400,000.00","$2,350,000.00",-2.10%,commercial
"Danks St, Waterloo",E1,2123 m²,"$16,000,000.00","$17,000,000.00",6.30%,commercial
"John St, Waterloo",E1,5084 m²,"$51,200,000.00","$61,400,000.00",19.90%,commercial
"Cathedral St, Woolloomooloo",E1,129.9 m²,"$1,100,000.00","$1,200,000.00",9.10%,commercial
"Gadigal Ave, Zetland",E1,2342 m²,"$14,050,964.00","$17,409,144.00",23.90%,commercial
"Joynton Ave, Zetland",B,1130 m²,"$2,770,000.00","$2,900,000.00",4.70%,commercial
